Tipo;Quantidade
;
Atendimento a solicitações;41
Atendimento de pedido de informações;4
Atendimento de requisições, ordens judiciais ou administrativas;5
Atualização do Cadastro da Malha Rodoviária Estadual;1
DER: FAIXA - Autorização de ocupação da faixa de domínio;9
DER: FAIXA - Ocupação da faixa de domínio;1
DER: PAINÉIS - Credenciamento para exploração anúncios;1
DER: PROTOCOLO SEDE - Peticionamento SEI;1
Processo de Autorização de Acesso e Disponibilidade de Dados;5
Processo de Contratação de Serviço Técnico Profissional Especializado;4
Processo de Contratação de Serviços Terceirizados;2
Processo de autorização de ocupação da faixa de domínio.;1
Processo de autorização para funcionário ou servidor dirigir veículo oficial;1
Processo de autorização para ocupação de área não edificante;1
Processo de capacitação de recursos humanos;1
Processo de contratação de obra pública;17
Processo de elaboração de Portaria;1
Processo de elaboração de projeto e estudo de tráfego, operação e segurança rodoviária;1
Processo de elaboração e execução de plano, programa ou projeto;1
Processo de formalização e execução de acordo bilateral;1
Solicitação de orientação técnica;1
Termo de cooperação;1
TOTAL:;101
